0,0,30000,50000,62000,
1,1,30001,50001,62001,
2,2,30002,50002,62002,
3,3,30003,50003,62003,
4,4,30004,50004,62004,
5,5,30005,50005,62005,
6,6,30006,50006,62006,
7,7,30007,50007,62007,
8,8,30008,50008,62008,
9,9,30009,50009,62009,
10,10,30010,50010,62010,
11,11,30011,50011,62011,
12,12,30012,50012,62012,
13,13,30013,50013,62013,
14,14,30014,50014,62014,
15,15,30015,50015,62015,
16,16,30016,50016,62016,
17,17,30017,50017,62017,
18,18,30018,50018,62018,
19,19,30019,50019,62019,
20,20,30020,50020,62020,
21,21,30021,50021,62021,
22,22,30022,50022,62022,
23,23,30023,50023,62023,
24,24,30024,50024,62024,
25,25,30025,50025,62025,
26,26,30026,50026,62026,
27,27,30027,50027,62027,
28,28,30028,50028,62028,
29,29,30029,50029,62029,
30,30,30030,50030,62030,
31,31,30031,50031,62031,
32,32,30032,50032,62032,
33,33,30033,50033,62033,
34,34,30034,50034,62034,
35,35,30035,50035,62035,
36,36,30036,50036,62036,
37,37,30037,50037,62037,
38,38,30038,50038,62038,
39,39,30039,50039,62039,
40,40,30040,50040,62040,
41,41,30041,50041,62041,
42,42,30042,50042,62042,
43,43,30043,50043,62043,
44,44,30044,50044,62044,
45,45,30045,50045,62045,
46,46,30046,50046,62046,
47,47,30047,50047,62047,
48,48,30048,50048,62048,
49,49,30049,50049,62049,
50,50,30050,50050,62050,
51,51,30051,50051,62051,
52,52,30052,50052,62052,
53,53,30053,50053,62053,
54,54,30054,50054,62054,
55,55,30055,50055,62055,
56,56,30056,50056,62056,
57,57,30057,50057,62057,
58,58,30058,50058,62058,
59,59,30059,50059,62059,
60,60,30060,50060,62060,
61,61,30061,50061,62061,
62,62,30062,50062,62062,
63,63,30063,50063,62063,
64,64,30064,50064,62064,
65,65,30065,50065,62065,
66,66,30066,50066,62066,
67,67,30067,50067,62067,
68,68,30068,50068,62068,
69,69,30069,50069,62069,
70,70,30070,50070,62070,
71,71,30071,50071,62071,
72,72,30072,50072,62072,
73,73,30073,50073,62073,
74,74,30074,50074,62074,
75,75,30075,50075,62075,
76,76,30076,50076,62076,
77,77,30077,50077,62077,
78,78,30078,50078,62078,
79,79,30079,50079,62079,
80,80,30080,50080,62080,
81,81,30081,50081,62081,
82,82,30082,50082,62082,
83,83,30083,50083,62083,
84,84,30084,50084,62084,
85,85,30085,50085,62085,
86,86,30086,50086,62086,
87,87,30087,50087,62087,
88,88,30088,50088,62088,
89,89,30089,50089,62089,
90,90,30090,50090,62090,
91,91,30091,50091,62091,
92,92,30092,50092,62092,
93,93,30093,50093,62093,
94,94,30094,50094,62094,
95,95,30095,50095,62095,
96,96,30096,50096,62096,
97,97,30097,50097,62097,
98,98,30098,50098,62098,
99,99,30099,50099,62099,
100,100,30100,50100,62100,
101,101,30101,50101,62101,
102,102,30102,50102,62102,
103,103,30103,50103,62103,
104,104,30104,50104,62104,
105,105,30105,50105,62105,
106,106,30106,50106,62106,
107,107,30107,50107,62107,
108,108,30108,50108,62108,
109,109,30109,50109,62109,
110,110,30110,50110,62110,
111,111,30111,50111,62111,
112,112,30112,50112,62112,
113,113,30113,50113,62113,
114,114,30114,50114,62114,
115,115,30115,50115,62115,
116,116,30116,50116,62116,
117,117,30117,50117,62117,
118,118,30118,50118,62118,
119,119,30119,50119,62119,
120,120,30120,50120,62120,
121,121,30121,50121,62121,
122,122,30122,50122,62122,
123,123,30123,50123,62123,
124,124,30124,50124,62124,
125,125,30125,50125,62125,
126,126,30126,50126,62126,
127,127,30127,50127,62127,
128,128,30128,50128,62128,
129,129,30129,50129,62129,
130,130,30130,50130,62130,
131,131,30131,50131,62131,
132,132,30132,50132,62132,
133,133,30133,50133,62133,
134,134,30134,50134,62134,
135,135,30135,50135,62135,
136,136,30136,50136,62136,
137,137,30137,50137,62137,
138,138,30138,50138,62138,
139,139,30139,50139,62139,
140,140,30140,50140,62140,
141,141,30141,50141,62141,
142,142,30142,50142,62142,
143,143,30143,50143,62143,
144,144,30144,50144,62144,
145,145,30145,50145,62145,
146,146,30146,50146,62146,
147,147,30147,50147,62147,
148,148,30148,50148,62148,
149,149,30149,50149,62149,
150,150,30150,50150,62150,
151,151,30151,50151,62151,
152,152,30152,50152,62152,
153,153,30153,50153,62153,
154,154,30154,50154,62154,
155,155,30155,50155,62155,
156,156,30156,50156,62156,
157,157,30157,50157,62157,
158,158,30158,50158,62158,
159,159,30159,50159,62159,
160,160,30160,50160,62160,
161,161,30161,50161,62161,
